Owner;Author's Last Name;Author's Name;Series;Order;Genre;Title;ISBN;Language;Type;Authors (other);Notes;Publisher;Ano;Original Language;Edição;;;;;;;;;;;;
Sérgio Lopes;Faria;Filipe;Crónicas de Allaryia;5;Fantasy;Vagas de Fogo;_9789722337366;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Faria;Filipe;Crónicas de Allaryia;6;Fantasy;O Fado da Sombra;_9789722341370;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Faria;Filipe;Crónicas de Allaryia;7;Fantasy;Oblívio;_9789722344807;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Faria;Filipe;Crónicas de Allaryia, Ciclo II;8;Fantasy;A Oitava Era;_9789722365697;Portuguese;Paperback;;;Editorial Presença;2020;;;;;;;;;;;;;;
Sérgio Lopes;Faria;Filipe;Crónicas de Allaryia, Ciclo II;9;Fantasy;A Era da Ruína;_9789722372268;Portuguese;Paperback;;;Editorial Presença;2023;;1;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Riftwar Saga;1;;Magician;_9780586217832;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Riftwar Saga;2;;Silverthorn;_9780007229420;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Empire Trilogy;3;;A Darkness at Sethanon;_9780007229437;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Empire Trilogy;1;;Daughter of the Empire;_9780586074817;English;Paperback;Wurts, Janny;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Empire Trilogy;2;;Servant of the Empire;_9780586203811;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;Krondor's Sons;3;;Mistress of the Empire;_9780586203798;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;Krondor's Sons;1;;Prince of the Blood;_9780007176168;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;Krondor's Sons;2;;The King's Buccaneer;_9780586203224;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Serpentwar Saga;1;;Shadow of a Dark Queen;_9780006480266;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Serpentwar Saga;2;;Rise of a Merchant Prince;_9780006497011;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Serpentwar Saga;3;;Rage of a Demon King;_9780006482987;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Serpentwar Saga;4;;Shards of a Broken Crown;_9780006483489;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;Chaoswar Saga;;;Magician's End;_9780007264803;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;;;;At the Gates of Darkness;_9780007264728;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;;;;Rides a Dread Legion;_9780007342587;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;;1;;Krondor: The Betrayal;;;;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Riftwar Legacy;2;;Krondor: The assassins;_9780008311261;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;The Riftwar Legacy;3;;Krondor: Tear of the Gods;_9780008311278;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Feist;Raymond E.;;;;Jimmy and the Crawler;_9780008160517;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Fernandes;Paulo;;;;Andar à Trela;_9789896619725;Portuguese;Paperback;;;Oficina do Livro - Leya;2024;;;;;;;;;;;;;;
Sérgio Lopes;Ferreira;Vergílio;;;;Aparição;_9722502514;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Fisher;Catherine;;;;Incarceron;_9789720043726;Portuguese;Paperback;;;;;English;;;;;;;;;;;;;
Sérgio Lopes;Flanagan;John;O Aprendiz de Ranger;;;Tomo 1: As Ruínas de Gorlan;_9789892303215;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Flanagan;John;O Aprendiz de Ranger;;;Tomo 2: A Ponte em Chamas;_9789892305516;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Flanagan;John;O Aprendiz de Ranger;;;Tomo 3: A Terra do Gelo;_9789892307299;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Flanagan;John;O Aprendiz de Ranger;;;The Battle for Skandia;_9780142413401;English;Paperback;;;;;;;;;;;;;;;;;;
